Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,323,713,5,3125,3300,3546,3632,3636,3603,3541,3487,3458,4282,3661,2857,1234.9397222222224,478.93800000000005,3465.9999999999995
2020-04-03,325,722,5,3151,3399,3671,3755,3707,3644,3599,3621,3506,4313,3712,2967,1273.4083333333333,497.62399999999997,3577.0000000000005
2020-04-03,333,712,5,3100,3274,3509,3572,3606,3566,3498,3475,3437,4276,3694,2931,1314.3177777777778,435.29099999999994,3422.9999999999995
2020-04-03,334,694,5,3158,3311,3592,3670,3686,3635,3615,3581,3527,4330,3757,2961,1304.5497222222223,514.2529999999999,3490.5
2020-04-03,335,703,5,3130,3427,3638,3705,3690,3596,3564,3579,3482,4312,3733,2897,1264.9880555555555,389.79200000000003,3565.9999999999995
2020-04-03,342,714,5,3340,3546,3828,3969,4036,3997,3889,3893,3808,4625,4067,3256,1111.111111111111,562.8739999999999,3757.5000000000005
2020-04-03,348,681,5,3073,3142,3485,3595,3614,3546,3507,3471,3416,4275,3784,2938,1261.957222222222,672.406,3368.5
2020-04-03,348,699,5,3143,3083,3364,3497,3542,3485,3447,3407,3377,4378,3835,3040,1131.24,629.179,3290.0
2020-04-03,351,730,5,3237,3427,3673,3730,3724,3632,3586,3607,3513,4509,3888,3024,1353.135277777778,423.362,3578.4999999999995
2020-04-03,355,698,5,3230,3506,3732,3812,3802,3755,3683,3663,3608,4396,4003,3107,1230.9369444444444,418.147,3659.0000000000005
2020-04-03,358,681,5,3217,3416,3736,3825,3796,3710,3676,3668,3580,4413,3970,3042,1303.9936111111112,564.839,3620.5
2020-04-03,362,746,5,3343,3793,4073,4162,4066,4003,3944,4037,3848,4610,3946,2979,1264.6794444444445,463.859,3977.5
2020-04-03,368,668,5,3126,3410,3664,3743,3704,3670,3600,3565,3517,4468,3780,2757,1271.271388888889,465.539,3576.5
2020-04-03,369,714,5,3336,3706,3931,4033,3958,3867,3837,3870,3779,4576,3882,2908,1146.7888888888888,422.53499999999997,3869.5
2020-04-03,372,701,5,3338,3440,3780,3894,3917,3875,3809,3778,3727,4604,3887,2838,1248.1644444444446,619.035,3667.0
2020-04-03,372,731,5,3369,3574,3844,3891,3862,3802,3771,3741,3697,4618,3926,2946,1419.5583333333334,424.648,3732.5000000000005
2020-04-03,374,687,5,3242,3293,3756,3969,3871,3794,3758,3811,3679,4559,3783,2672,1141.518611111111,930.873,3631.0
2020-04-03,380,675,5,3053,3449,3885,4062,4053,4002,3931,4008,3842,4606,3777,2568,1185.4269444444444,816.136,3755.5
2020-04-03,380,707,5,3331,3550,3855,3939,3908,3852,3811,3830,3702,4621,3874,2783,1306.7694444444446,519.428,3744.5
2020-04-03,380,761,5,3113,3456,3817,3926,3858,3802,3757,3825,3672,4478,3906,3001,1280.1419444444446,636.684,3690.9999999999995
2020-04-03,386,726,5,3518,3929,4198,4263,4297,4230,4152,4131,4027,4919,4021,2812,1342.3152777777777,407.715,4096.0
2020-04-03,388,711,5,3391,3708,4027,4083,4079,4005,3949,3957,3834,4774,3901,2722,1417.7777777777778,481.325,3895.5
2020-04-03,393,670,5,2817,3024,3577,3805,3910,3843,3787,3788,3659,4472,3510,2329,1180.1108333333334,1143.652,3414.5000000000005
2020-04-03,394,701,5,3184,3403,3763,3962,4014,3952,3859,3825,3812,4783,3815,2716,1073.345277777778,758.995,3682.5000000000005
